COG14_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_PATHOGEN	p_COMMENSAL	N_PATHOGEN	N_COMMENSAL
ABC-type nickel/cobalt efflux system, permease component RcnA	4.560607182242673	0.032715472971081044	0.590909129043184	PATHOGEN	COG2215	GC_00003320	1	0.8421	27	19
Periplasmic regulator RcnB of Ni and Co efflux	4.560607182242673	0.032715472971081044	0.590909129043184	PATHOGEN	COG5455	GC_00003362	1	0.8421	27	19
Uncharacterized membrane protein MutK, may be involved in DNA repair	4.560607182242673	0.032715472971081044	0.590909129043184	PATHOGEN	COG2354	GC_00003302	1	0.8421	27	19
Site-specific DNA-cytosine methylase	4.560607182242673	0.032715472971081044	0.590909129043184	PATHOGEN	COG0270	GC_00003385, GC_00007225, GC_00007295, GC_00008040, GC_00008204, GC_00008281, GC_00011044, GC_00011149, GC_00011245, GC_00011379, GC_00011551, GC_00011784, GC_00012045	1	0.8421	27	19
Phage DNA packaging protein, Nu1 subunit of terminase	4.560607182242673	0.032715472971081044	0.590909129043184	PATHOGEN	COG4220	GC_00000095, GC_00003944, GC_00004264, GC_00005055, GC_00006994, GC_00010326	1	0.8421	27	19
Uncharacterized conserved protein YodC, DUF2158 family	4.560607182242673	0.032715472971081044	0.590909129043184	PATHOGEN	COG5475	GC_00003369	1	0.8421	27	19
G:T-mismatch repair DNA endonuclease, very short patch repair protein	4.560607182242673	0.032715472971081044	0.590909129043184	PATHOGEN	COG3727	GC_00003396, GC_00010717	1	0.8421	27	19
DNA-binding transcriptional regulator LsrR, DeoR family	4.560607182242673	0.032715472971081044	0.590909129043184	PATHOGEN	COG2390	GC_00003839, GC_00003974, GC_00005110, GC_00007013, GC_00007198, GC_00008642	1	0.8421	27	19
Signal transduction histidine kinase!!!HPt (histidine-containing phosphotransfer) domain	4.560607182242673	0.032715472971081044	0.590909129043184	PATHOGEN	COG0642!!!COG2198	GC_00003407	1	0.8421	27	19
NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family!!!2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	4.56060718224267	0.03271547297108121	0.590909129043184	COMMENSAL	COG1028!!!COG1211	GC_00007177	0	0.1579	27	19
Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain	4.4414431245970905	0.0350765857438681	0.6292162881040448	PATHOGEN	COG3609	GC_00004768, GC_00005291, GC_00008743, GC_00009210, GC_00011461	0.5185	0.2105	27	19
Predicted dinucleotide-binding enzyme	4.393762183235724	0.03607063488911946	0.6383040052338099	COMMENSAL	COG2085	GC_00004115	0.3704	0.6842	27	19
N-glycosylase/DNA lyase	4.39376218323572	0.03607063488911945	0.6383040052338099	PATHOGEN	COG4047	GC_00004049, GC_00005582	0.6296	0.3158	27	19
CRISPR/Cas system-associated protein Cas7,  RAMP superfamily	4.339974651466404	0.03722747767150686	0.6543541209508488	COMMENSAL	COG1857	GC_00005245	0.1111	0.3684	27	19
Phage protein D	4.307612022141569	0.037942186747620656	0.66247058061345665	PATHOGEN	COG3500	GC_00004757, GC_00004868, GC_00004923, GC_00006032, GC_00006181, GC_00006589, GC_00007849, GC_00008291, GC_00009030, GC_00011916, GC_00012014	0.8519	0.5789	27	19
Bacteriophage DNA transposition protein, AAA+ family ATPase	4.207484618956222	0.04024597479205053	0.6889163920286298	PATHOGEN	COG2842	GC_00007218, GC_00007623, GC_00008370, GC_00011932	0.2963	0.0526	27	19
Tfp pilus assembly protein PilE	4.207484618956222	0.04024597479205053	0.6889163920286298	PATHOGEN	COG4968	GC_00005793, GC_00008503	0.2963	0.0526	27	19
Na+/H+ antiporter NhaC	4.207484618956222	0.04024597479205053	0.6889163920286298	PATHOGEN	COG1757	GC_00005884, GC_00006453, GC_00008052	0.2963	0.0526	27	19
Mu-like prophage protein gp45	4.16698764735307	0.041219022974425396	0.6920039818591033	PATHOGEN	COG4384	GC_00005383, GC_00007489, GC_00008360, GC_00009525, GC_00010298	0.4444	0.1579	27	19
Mu-like prophage protein gp46	4.16698764735307	0.041219022974425396	0.6920039818591033	PATHOGEN	COG4381	GC_00005392, GC_00007418, GC_00008097, GC_00009323, GC_00010571	0.4444	0.1579	27	19
Mu-like prophage tail protein gpP	4.16698764735307	0.041219022974425396	0.6920039818591033	PATHOGEN	COG4379	GC_00005391, GC_00007537, GC_00008380, GC_00010111, GC_00011265	0.4444	0.1579	27	19
dTDP-4-dehydrorhamnose 3,5-epimerase or related enzyme	3.998195671972365	0.04554900007909801	0.7450354905952921	COMMENSAL	COG1898	GC_00006324, GC_00006339, GC_00007238, GC_00007603, GC_00007604, GC_00009320, GC_00009486	0.3333	0.6316	27	19
dTDP-4-dehydrorhamnose reductase	3.998195671972365	0.04554900007909801	0.7450354905952921	COMMENSAL	COG1091	GC_00004296, GC_00010267	0.3333	0.6316	27	19
Propanediol dehydratase, large subunit	3.947606351887873	0.046938089327309106	0.7450354905952921	PATHOGEN	COG4909	GC_00006495, GC_00006593	0.1852	0	27	19
Mn-containing catalase (includes spore coat protein CotJC)	3.947606351887873	0.046938089327309106	0.7450354905952921	PATHOGEN	COG3546	GC_00006280	0.1852	0	27	19
Propanediol dehydratase, small subunit	3.947606351887873	0.046938089327309106	0.7450354905952921	PATHOGEN	COG4910	GC_00006492	0.1852	0	27	19
AraC-type DNA-binding domain and AraC-containing proteins!!!Ligand-binding sensor domain	3.947606351887873	0.046938089327309106	0.7450354905952921	PATHOGEN	COG2207!!!COG4936	GC_00006561	0.1852	0	27	19
Cob(I)alamin adenosyltransferase!!!Uncharacterized conserved protein GlcG, DUF336 family	3.947606351887873	0.046938089327309106	0.7450354905952921	PATHOGEN	COG2096!!!COG3193	GC_00006602	0.1852	0	27	19
Uncharacterized protein involved in exopolysaccharide biosynthesis	3.947606351887873	0.046938089327309106	0.7450354905952921	PATHOGEN	COG3206	GC_00007042, GC_00009904	0.1852	0	27	19
Transcriptional regulator of acetoin/glycerol metabolism	3.947606351887872	0.046938089327309356	0.7450354905952921	COMMENSAL	COG3284	GC_00003505, GC_00006325	0.8148	1	27	19
Phage- or plasmid-associated DNA primase!!!Uncharacterized domain associated with phage/plasmid primase	3.8798920379129553	0.048867699675301114	0.7709909966844194	PATHOGEN	COG3378!!!COG4643	GC_00005643, GC_00005784, GC_00006220, GC_00008149	0.5556	0.2632	27	19
Cu2+-containing amine oxidase	3.675031110710254	0.05523322292636406	0.8662024601445957	COMMENSAL	COG3733	GC_00004357	0.2963	0.5789	27	19
Replicative superfamily II helicase	3.4647078635587008	0.06269158068416929	0.8773575133702635	COMMENSAL	COG1204	GC_00006700, GC_00011159, GC_00012010	0.037	0.2105	27	19
Flagellar biosynthesis protein FliQ	3.4647078635586923	0.0626915806841693	0.8773575133702635	PATHOGEN	COG1987	GC_00003473, GC_00005838	0.963	0.7895	27	19
Flagellar hook-length control protein FliK	3.4647078635586923	0.0626915806841693	0.8773575133702635	PATHOGEN	COG3144	GC_00003511, GC_00005944	0.963	0.7895	27	19
Flagellar biosynthesis/type III secretory pathway protein FliH	3.4647078635586923	0.0626915806841693	0.8773575133702635	PATHOGEN	COG1317	GC_00003509, GC_00005893	0.963	0.7895	27	19
Uncharacterized membrane protein YagU, involved in acid resistance, DUF1440 family	3.4647078635586923	0.0626915806841693	0.8773575133702635	PATHOGEN	COG3477	GC_00003480, GC_00007414, GC_00011766	0.963	0.7895	27	19
Flagellar motor switch protein FliG	3.4647078635586923	0.0626915806841693	0.8773575133702635	PATHOGEN	COG1536	GC_00003472, GC_00005932, GC_00010350	0.963	0.7895	27	19
Flagellar biogenesis protein FliO	3.4647078635586923	0.0626915806841693	0.8773575133702635	PATHOGEN	COG3190	GC_00003489	0.963	0.7895	27	19
Restriction endonuclease S subunit	3.4647078635586923	0.0626915806841693	0.8773575133702635	PATHOGEN	COG0732	GC_00005304, GC_00005468, GC_00006052, GC_00006537, GC_00006564, GC_00006845, GC_00006895, GC_00007495, GC_00007733, GC_00007845, GC_00007933, GC_00008214, GC_00008660, GC_00009052, GC_00009074, GC_00009223, GC_00009283, GC_00009415, GC_00010495, GC_00010528, GC_00010727, GC_00010730, GC_00010908, GC_00011010, GC_00011032, GC_00011212, GC_00011351, GC_00011727, GC_00011776, GC_00012180	0.963	0.7895	27	19
Flagellar basal body-associated protein FliL	3.4647078635586923	0.0626915806841693	0.8773575133702635	PATHOGEN	COG1580	GC_00003476	0.963	0.7895	27	19
Flagellar biosynthetic protein FliP	3.4647078635586923	0.0626915806841693	0.8773575133702635	PATHOGEN	COG1338	GC_00003490, GC_00005907	0.963	0.7895	27	19
Flagellar biosynthesis/type III secretory pathway M-ring protein FliF/YscJ	3.4647078635586923	0.0626915806841693	0.8773575133702635	PATHOGEN	COG1766	GC_00003504, GC_00005942	0.963	0.7895	27	19
Chromosome segregation ATPase	3.4647078635586923	0.0626915806841693	0.8773575133702635	PATHOGEN	COG1196	GC_00000156, GC_00004350, GC_00004660, GC_00005252, GC_00005613, GC_00005676, GC_00005788, GC_00006100, GC_00006138, GC_00006171, GC_00006258, GC_00006328, GC_00006361, GC_00006486, GC_00006660, GC_00006777, GC_00006993, GC_00007072, GC_00007417, GC_00008451, GC_00008455, GC_00008501, GC_00008508, GC_00008794, GC_00009017, GC_00009027, GC_00009081, GC_00009273, GC_00009312, GC_00009492, GC_00009537, GC_00009614, GC_00009786, GC_00010028, GC_00010107, GC_00010320, GC_00010501, GC_00010545, GC_00010656, GC_00010913, GC_00011026, GC_00011134, GC_00011170, GC_00011189, GC_00011241, GC_00011372, GC_00011384, GC_00011417, GC_00011487, GC_00011491, GC_00011504, GC_00011529, GC_00011666, GC_00011897, GC_00011958, GC_00011968, GC_00012007, GC_00012136, GC_00012167	0.963	0.7895	27	19
Flagellar motor switch protein FliM	3.4647078635586923	0.0626915806841693	0.8773575133702635	PATHOGEN	COG1868	GC_00003474, GC_00005914	0.963	0.7895	27	19
Antitoxin component of the MazEF toxin-antitoxin module	3.4647078635586923	0.0626915806841693	0.8773575133702635	PATHOGEN	COG2336	GC_00003587, GC_00004065, GC_00007119, GC_00007144, GC_00010327, GC_00011482	0.963	0.7895	27	19
Flagellar biosynthesis chaperone FliJ	3.4647078635586923	0.0626915806841693	0.8773575133702635	PATHOGEN	COG2882	GC_00003477	0.963	0.7895	27	19
1-aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase, PLP-dependent ACC family	3.4647078635586923	0.0626915806841693	0.8773575133702635	PATHOGEN	COG2515	GC_00003456	0.963	0.7895	27	19
mRNA-degrading endonuclease, toxin component of the MazEF toxin-antitoxin module	3.4647078635586923	0.0626915806841693	0.8773575133702635	PATHOGEN	COG2337	GC_00003590, GC_00004064, GC_00006827, GC_00012081	0.963	0.7895	27	19
Periplasmic ferric-dicitrate binding protein FerR, regulates iron transport through sigma-19	3.4243907273003282	0.06423994319167525	0.8773575133702635	COMMENSAL	COG3712	GC_00004016	0.4074	0.6842	27	19
ABC-type Fe3+-citrate transport system, periplasmic component	3.4243907273003282	0.06423994319167525	0.8773575133702635	COMMENSAL	COG4594	GC_00004051	0.4074	0.6842	27	19
Secreted protein containing bacterial Ig-like domain and vWFA domain	3.4243907273003282	0.06423994319167525	0.8773575133702635	COMMENSAL	COG2304	GC_00004085	0.4074	0.6842	27	19
ATP-dependent exoDNAse (exonuclease V), alpha subunit, helicase superfamily I!!!Superfamily I DNA and/or RNA helicase!!!Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase or related enzyme	3.4243907273003282	0.06423994319167525	0.8773575133702635	COMMENSAL	COG0507!!!COG1112!!!COG1502	GC_00004566, GC_00004957	0.4074	0.6842	27	19
Phosphotransferase system, fructose-specific IIC component!!!Phosphotransferase system fructose-specific component IIB!!!Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)	3.4243907273003282	0.06423994319167525	0.8773575133702635	COMMENSAL	COG1299!!!COG1445!!!COG1762	GC_00004084	0.4074	0.6842	27	19
Indole-3-glycerol phosphate synthase	3.4243907273003265	0.06423994319167552	0.8773575133702635	PATHOGEN	COG0134	GC_00004184	0.5926	0.3158	27	19
HEAT repeat	3.413773334979003	0.06465444829341765	0.8773575133702635	COMMENSAL	COG1413	GC_00003946	0.2593	0.5263	27	19
Type VI protein secretion system component VasK	3.413773334979	0.06465444829341765	0.8773575133702635	PATHOGEN	COG3523	GC_00004731, GC_00004744, GC_00005570	0.7407	0.4737	27	19
Type VI protein secretion system component VasA	3.413773334979	0.06465444829341765	0.8773575133702635	PATHOGEN	COG3519	GC_00003969, GC_00004805, GC_00005562, GC_00009135, GC_00009437, GC_00011313	0.7407	0.4737	27	19
DNA-binding transcriptional regulator, XRE-family HTH domain!!!Phage repressor protein C, contains Cro/C1-type HTH and peptisase s24 domains	3.3142340815362807	0.0686823182742683	0.9224563669759419	PATHOGEN	COG1476!!!COG2932	GC_00005815, GC_00010599	0.2593	0.0526	27	19
Transcriptional regulator, contains XRE-family HTH domain!!!Phage repressor protein C, contains Cro/C1-type HTH and peptisase s24 domains	3.3142340815362807	0.0686823182742683	0.9224563669759419	PATHOGEN	COG1396!!!COG2932	GC_00005571	0.2593	0.0526	27	19
Phage head maturation protease	3.2793095808064026	0.07015843706228049	0.9233414405332292	PATHOGEN	COG3740	GC_00006027, GC_00006208, GC_00006490, GC_00011345	0.4074	0.1579	27	19
Nucleoside 2-deoxyribosyltransferase	3.2793095808064026	0.07015843706228049	0.9233414405332292	PATHOGEN	COG3613	GC_00004653, GC_00011316	0.4074	0.1579	27	19
Predicted phage phi-C31 gp36 major capsid-like protein	3.2793095808064026	0.07015843706228049	0.9233414405332292	PATHOGEN	COG4653	GC_00006111, GC_00006455, GC_00007533, GC_00008528, GC_00008776	0.4074	0.1579	27	19
Mu-like prophage DNA circulation protein	3.2793095808064026	0.07015843706228049	0.9233414405332292	PATHOGEN	COG4228	GC_00005384, GC_00008190, GC_00008708, GC_00009597, GC_00011712	0.4074	0.1579	27	19
Mu-like prophage protein gpG	3.208979455995463	0.07323514928400254	0.9405518767936248	PATHOGEN	COG5005	GC_00004955, GC_00004979, GC_00005098, GC_00006354, GC_00008364, GC_00008555, GC_00009368, GC_00010793	0.7778	0.5263	27	19
Transposase and inactivated derivatives, TnpA family	3.1882457367627293	0.07416956533138933	0.9405518767936248	PATHOGEN	COG4644	GC_00006572, GC_00006636, GC_00007056, GC_00007557, GC_00007582, GC_00008556, GC_00009821, GC_00009874, GC_00011136, GC_00011629, GC_00011959, GC_00012018	0.3333	0.1053	27	19
ABC-type Fe3+ transport system, periplasmic component	3.1882457367627293	0.07416956533138933	0.9405518767936248	PATHOGEN	COG1840	GC_00005489, GC_00007628	0.3333	0.1053	27	19
Mu-like prophage tail sheath protein gpL	3.1882457367627293	0.07416956533138933	0.9405518767936248	PATHOGEN	COG4386	GC_00005858, GC_00008092, GC_00008476, GC_00011448	0.3333	0.1053	27	19
Bacteriophage DNA transposition protein, AAA+ family ATPase!!!Phage repressor protein C, contains Cro/C1-type HTH and peptisase s24 domains	3.0828925183439626	0.07911970053261105	0.9405518767936248	PATHOGEN	COG2842!!!COG2932	GC_00007716, GC_00008550, GC_00011017	0.1481	0	27	19
Serine protease, subtilisin family	3.0828925183439626	0.07911970053261105	0.9405518767936248	PATHOGEN	COG1404	GC_00007984, GC_00008256	0.1481	0	27	19
AAA+-type ATPase, SpoVK/Ycf46/Vps4 family	3.0828925183439626	0.07911970053261105	0.9405518767936248	PATHOGEN	COG0464	GC_00007971, GC_00008357	0.1481	0	27	19
Mannose-6-phosphate isomerase, cupin superfamily!!!AraC-type DNA-binding domain and AraC-containing proteins	3.0602290537754726	0.08023035875289758	0.9405518767936248	COMMENSAL	COG0662!!!COG2207	GC_00004913, GC_00009731	0.1852	0.4211	27	19
Uncharacterized conserved protein, contains a C-terminal beta-barrel porin domain!!!Phage-related protein, tail component	3.060229053775471	0.0802303587528979	0.9405518767936248	PATHOGEN	COG4625!!!COG4733	GC_00003645, GC_00003718, GC_00004943, GC_00007690, GC_00009548	0.8148	0.5789	27	19
Plasmid stabilization system protein ParE	3.049412260931385	0.08076636627889043	0.9405518767936248	PATHOGEN	COG3668	GC_00004801, GC_00004921, GC_00005330, GC_00005484, GC_00006645, GC_00007593, GC_00009189, GC_00009685, GC_00010237	0.6296	0.3684	27	19
Uncharacterized conserved protein, implicated in type VI secretion and phage assembly	2.9739710879952748	0.08461391446661656	0.9405518767936248	PATHOGEN	COG3501	GC_00000140, GC_00003967, GC_00008244, GC_00011474, GC_00011819, GC_00011899	0.8519	0.6316	27	19
Glycosyltransferase involved in cell wall bisynthesis!!!Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase	2.971298197770828	0.08475381554917691	0.9405518767936248	COMMENSAL	COG0438!!!COG1215	GC_00007719	0	0.1053	27	19
Predicted nucleotide-binding protein containing TIR -like domain	2.971298197770828	0.08475381554917691	0.9405518767936248	COMMENSAL	COG4271	GC_00010017, GC_00011458	0	0.1053	27	19
Thioester reductase domain of alpha aminoadipate reductase Lys2 and NRPSs	2.971298197770828	0.08475381554917691	0.9405518767936248	COMMENSAL	COG3320	GC_00008325	0	0.1053	27	19
Acetyltransferase involved in cellulose biosynthesis, CelD/BcsL family	2.971298197770828	0.08475381554917691	0.9405518767936248	COMMENSAL	COG5653	GC_00008766	0	0.1053	27	19
6-phosphogluconolactonase, cycloisomerase 2 family	2.9712981977708157	0.08475381554917735	0.9405518767936248	PATHOGEN	COG2706	GC_00003291	1	0.8947	27	19
LysM repeat	2.9712981977708157	0.08475381554917735	0.9405518767936248	PATHOGEN	COG1388	GC_00003355, GC_00004326, GC_00004843, GC_00005559, GC_00006199, GC_00008367, GC_00008892, GC_00009379, GC_00010636	1	0.8947	27	19
Purine-cytosine permease or related protein	2.9712981977708157	0.08475381554917735	0.9405518767936248	PATHOGEN	COG1457	GC_00003284, GC_00004268, GC_00008070, GC_00008119, GC_00008298	1	0.8947	27	19
ABC-type molybdenum transport system, ATPase component/photorepair protein PhrA	2.9712981977708157	0.08475381554917735	0.9405518767936248	PATHOGEN	COG1119	GC_00003336	1	0.8947	27	19
EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)!!!DNA-binding transcriptional regulator, CsgD family	2.9712981977708157	0.08475381554917735	0.9405518767936248	PATHOGEN	COG2200!!!COG2771	GC_00003297, GC_00006201, GC_00010015	1	0.8947	27	19
Holliday junction resolvase RusA (prophage-encoded endonuclease)	2.9712981977708157	0.08475381554917735	0.9405518767936248	PATHOGEN	COG4570	GC_00000055, GC_00003565, GC_00004130, GC_00004611, GC_00008894	1	0.8947	27	19
Uncharacterized membrane-anchored protein YjiN, DUF445 family	2.9712981977708157	0.08475381554917735	0.9405518767936248	PATHOGEN	COG2733	GC_00003338	1	0.8947	27	19
Choline dehydrogenase or related flavoprotein	2.9712981977708157	0.08475381554917735	0.9405518767936248	PATHOGEN	COG2303	GC_00003341	1	0.8947	27	19
Bacterioferritin-associated ferredoxin	2.9712981977708157	0.08475381554917735	0.9405518767936248	PATHOGEN	COG2906	GC_00003278	1	0.8947	27	19
ABC-type molybdate transport system, permease component	2.9712981977708157	0.08475381554917735	0.9405518767936248	PATHOGEN	COG4149	GC_00003283	1	0.8947	27	19
